"","lon","lat"
"1103",-87.8,41.8
"1104",-71.2,42.4
"1105",-81.1,35.8
"1106",-89.2,31.4
"1107",-93.2,45
"1108",-91.7,38
"1109",-77.1,38.9
"1110",-73.4,44.7
"1111",-85.8,41.6
"1112",-78.5,35.9
"1113",-122.1,47.5
"1114",-85.8,38.2
"1115",-87.7,42
"1117",-82.6,28.9
"1118",-88.3,43
"1119",-76.7,42.7
"1120",-84.5,38
"1121",-78.9,36
"1122",-93.7,41.5
"1123",-73.8,41.2
"1124",-72.4,41.3
"1125",-107.1,37.3
"1126",-75.7,35.9
"1127",-82,41.5
"1128",-75,39.7
"1129",-85.6,42.3
"1130",-97.7,30.5
"1132",-117,32.7
"1133",-122.3,47.7
"1134",-86.3,39.9
"1135",-79.2,36.1
"1136",-72,42.1
"1137",-78.6,35.8
"1138",-76,40.3
"1139",-90.1,30
"1140",-122.2,47.6
"1141",-122.2,37.8
"1142",-118.5,34.2
"1144",-94.3,45.3
"1145",-118.5,34.2
"1146",-85.1,34.3
"1147",-117.5,47.7
"1148",-111.9,40.8
"1149",-122.1,37.4
"1150",-79.3,35.8
"1151",-68.3,44.4
"1152",-84.1,36.1
"1153",-96.8,33.1
"1155",-74,41
"1157",-111.9,40.7
"1158",-74.1,40.7
"1159",-77.5,39
"1161",-74.1,40.3
"1162",-88,40.5
"1163",-74.4,40.8
"1164",-78.9,36
"1165",-94.8,38.9
"1166",-116.3,33.7
"1167",-74,40.7
"1168",-122.4,40.6
"1169",-121.8,38.5
"1171",-122.6,45.6
"1172",-118.2,33.8
"1173",-87,34.1
"1174",-80.5,37.2
"1175",-78.9,36
"1176",-74,40.7
"1177",-74,40.8
"1178",-78,35.5
"1179",-90.1,29.9
"1180",-90.1,30
"1181",-97,32.9
"1182",-74.9,41.3
"1183",-78.7,39.7
"1184",-78.7,35.7
"1185",-78.1,43
"1186",-77.5,39.5
"1188",-80.1,42.1
"1189",-78.3,37.7
"1191",-71.4,42.5
"1193",-84.4,39.3
"1194",-122.2,37.4
"1195",-71,42.4
"1199",-118.1,33.9
"1200",-74.9,42.4
"1201",-84.5,42.7
"1202",-80,40.4
"1203",-74.8,40.2
"1204",-122.3,47.7
"1205",-122.2,47.3
"1206",-82.5,29.7
"1207",-77.3,39.2
"1208",-84.3,33.8
"1209",-111.8,41.8
"1210",-77.3,38.7
"1211",-82.5,35.5
"1212",-76.5,38.3
"1213",-71.4,42.5
"1214",-85.4,42.9
"1215",-116.6,48.3
"1216",-74,40.7
"1217",-122.4,47.6
"1220",-93.6,42
"1221",-81.3,35.3
"1222",-122.1,47.6
"1223",-86.7,33.4
"1224",-78.7,35.8
"1226",-76.5,39.4
"1227",-84.4,42.8
"1229",-90.3,38.8
"1230",-74,40.7
"1231",-74,40.7
"1232",-87.9,42.9
"1233",-80.1,32.8
"1234",-119.8,34.5
"1236",-71.4,42.2
"1237",-78.9,36
"1238",-82.4,34.3
"1239",-73.9,40.8
"1240",-104.8,38.9
"1241",-105.1,40
"1242",-93.3,45
